Java HotSpot(TM) 64-Bit Server VM (25.251-b08) for windows-amd64 JRE (1.8.0_251-b08), built on Mar 12 2020 06:31:49 by "" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16474744k(10579832k free), swap 22504056k(15672108k free)
CommandLine flags: -XX:InitialHeapSize=209715200 -XX:MaxHeapSize=209715200 -XX:MaxNewSize=104857600 -XX:MaxTenuringThreshold=15 -XX:NewSize=104857600 -XX:OldPLABSize=16 -XX:PretenureSizeThreshold=3145728 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=8 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
206.689: [GC (Allocation Failure) 206.690: [ParNew: 81499K->0K(92160K), 0.0006105 secs] 82917K->1418K(194560K), 0.0006922 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
207.694: [GC (Allocation Failure) 207.694: [ParNew: 81499K->0K(92160K), 0.0010808 secs] 82917K->1418K(194560K), 0.0011603 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
209.708: [GC (Allocation Failure) 209.708: [ParNew: 81499K->0K(92160K), 0.0008781 secs] 82917K->1418K(194560K), 0.0009890 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
210.721: [GC (Allocation Failure) 210.721: [ParNew: 81499K->0K(92160K), 0.0005105 secs] 82917K->1418K(194560K), 0.0005829 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
212.733: [GC (Allocation Failure) 212.733: [ParNew: 81499K->0K(92160K), 0.0006751 secs] 82917K->1418K(194560K), 0.0007572 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
214.751: [GC (Allocation Failure) 214.751: [ParNew: 81499K->0K(92160K), 0.0009543 secs] 82917K->1418K(194560K), 0.0010360 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
215.763: [GC (Allocation Failure) 215.763: [ParNew: 81499K->0K(92160K), 0.0007712 secs] 82917K->1418K(194560K), 0.0009024 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
217.776: [GC (Allocation Failure) 217.777: [ParNew: 81499K->0K(92160K), 0.0015025 secs] 82917K->1418K(194560K), 0.0016562 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
218.794: [GC (Allocation Failure) 218.794: [ParNew: 81499K->0K(92160K), 0.0009895 secs] 82917K->1418K(194560K), 0.0010703 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
220.806: [GC (Allocation Failure) 220.806: [ParNew: 81499K->0K(92160K), 0.0009171 secs] 82917K->1418K(194560K), 0.0010068 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
